BSU	Gene
BSU15290	ftsZ1132
BSU27500	mnmA
BSU05920	ydiC
BSU01260	rplN
BSU01320	rplR103
BSU00500	glmU
BSU18070	yneS
BSU22780	folE
BSU15920	acpP
BSU28190	engB
BSU16960	ymdA
BSU09950	prsA44
BSU14190	dapL
BSU05940	gcp
BSU06720	yerQ
BSU22750	ubiE
BSU14840	ylaN25
BSU14840	ylaN85
BSU14840	ylaN187
BSU14840	ylaN190
BSU00460	ipk
