BSU	Gene	S-Value
BSU22840	engA	1.37992211
BSU22890	cmk	2.715346612
BSU23130	resC	-3.330097509
BSU23140	resB	-1.09611011
BSU23220	scpA	0.51956301
BSU23230	ypuF	-0.813429404
BSU23840	yqjK	-0.195707257
BSU24270	dxs	-0.575396263
BSU24310	folD	1.013922383
BSU24330	yqhY	0.943926148
BSU24340	accC	0.228364587
BSU24350	accB	2.312698214
BSU25070	ispG	-0.088928208
BSU25160	ispH	-0.875216743
BSU25200	sigA	0.246183126
BSU25210	dnaG	-0.300722241
BSU25260	glyS	0.768128242
BSU25270	glyQ	0.247218377
BSU25290	era	1.951578599
BSU25560	holA	0.583472229
BSU25640	nadD	0.637546006
BSU25670	yqeH	1.549053237
BSU26350	sknR99	1.072017528
BSU26350	yqaE	0.109944972
BSU27410	alaS	0.137566612
BSU27500	mnmA	1.616821642
BSU27550	aspS	0.356713578
BSU27560	hisS	0.199568409
BSU27880	nifS	0.011711496
BSU27940	rpmA	1.915437891
BSU27960	rplU	0.054860002
BSU28010	mreD	-1.254597029
BSU28020	mreC	-2.163795069
BSU28030	mreB	-5.040420408
BSU28080	folC	0.826106975
BSU28090	valS	1.503580655
BSU28130	hemB	1.82869827
BSU28140	hemD	0.195597638
BSU28150	hemC	1.208668369
BSU28170	hemA	0.55963393
BSU28190	engB	1.065913983
BSU28390	racE	1.318903913
BSU28500	trxA	-0.649871735
BSU28630	pheT	1.005239376
BSU28640	pheS	0.911827178
BSU28650	ysgA	-0.618367595
BSU28850	rplT	1.308395357
BSU28870	infC	1.031667657
BSU28980	dnaI	0.775489196
BSU28990	dnaB	-0.389254951
BSU29050	ytbE	-0.802665871
BSU29060	coaE	-0.314862569
BSU29200	accA	-0.682195898
BSU29210	accD	0.571334514
BSU29230	dnaE	0.424452018
BSU29660	rpsD	1.871723892
BSU29670	tyrS	-1.110920303
BSU29790	murC	-0.475314608
BSU30320	leuS	1.523339798
BSU30540	asnB	-2.054618745
BSU30550	metK	-0.049215975
BSU30770	mntA	0.54233333
BSU30780	menC	0.683090069
BSU30790	menE	0.212939559
BSU30800	menB	0.843445044
BSU30820	menD	0.794635112
BSU31600	mrpA	0.076051762
BSU31610	mrpB	1.242659865
BSU31620	mrpC	0.869044428
