BSU	Gene	S-Value
BSU22740	hepT	0.5143363345
BSU22750	ubiE	-1.2808039885
BSU22760	hepS	-0.201679539
BSU22780	folE	0.3748763535
BSU22790	hbs	1.409251195
BSU22830	gpsA	-0.9787315525
BSU22840	engA	-0.0474852395
BSU22890	cmk	-2.509041123
BSU23130	resC	0.0181522065
BSU23140	resB	0.5973702895
BSU23220	scpA	1.028369712
BSU23230	ypuF	0.648304523
BSU23840	yqjK	1.6477042545
BSU24270	dxs	-0.1474089745
BSU24310	folD	-0.334257329
BSU24330	yqhY	-2.195626573
BSU24340	accC	1.884756519
BSU24350	accB	-1.301272117
BSU25070	ispG	1.6452898535
BSU25160	ispH	-1.2627762505
BSU25200	sigA	1.9480228535
BSU25210	dnaG	0.808494904
BSU25260	glyS	-0.193510907
BSU25270	glyQ	1.7956177135
BSU25290	era	-0.505987267
BSU25560	holA	3.1775723555
BSU25640	nadD	1.613846768
BSU25670	yqeH	-0.2678409465
BSU26350	sknR99	1.564968138
BSU26350	yqaE	1.96185129
BSU27410	alaS	0.1857690015
BSU27500	mnmA	-0.3333181455
BSU27550	aspS	-0.3982409765
BSU27560	hisS	-0.4838828785
BSU27880	nifS	1.7375501155
BSU27940	rpmA	1.7805099375
BSU27960	rplU	-3.036136891
BSU28010	mreD	-4.3202671175
BSU28020	mreC	-2.4485956035
BSU28030	mreB	-4.149481439
BSU28080	folC	1.4821074175
BSU28090	valS	0.1978288525
BSU28130	hemB	0.803439765
BSU28140	hemD	2.75353967
BSU28150	hemC	0.00566933
BSU28170	hemA	0.4828815595
BSU28190	engB	0.4666925555
BSU28390	racE	-1.0229409165
BSU28500	trxA	-0.8950257775
BSU28630	pheT	-0.4404211995
BSU28640	pheS	-0.3670207445
BSU28650	ysgA	1.3551702065
BSU28850	rplT	-0.5278813
BSU28870	infC	-2.4243584495
BSU28980	dnaI	0.7595242825
BSU28990	dnaB	-0.031901992
BSU29050	ytbE	0.987688883
BSU29060	coaE	0.9462735575
BSU29200	accA	-2.138734891
BSU29210	accD	-0.723091342
BSU29230	dnaE	0.7283562335
BSU29660	rpsD	-2.76377757
BSU29670	tyrS	1.183230324
BSU29790	murC	-2.81232403
BSU30320	leuS	0.195064507
BSU30540	asnB	-3.6758483335
BSU30550	metK	0.4956415825
BSU30770	mntA	1.9687370045
BSU30780	menC	1.4819562185
BSU30790	menE	-1.005471468
BSU30800	menB	-1.127518076
BSU30820	menD	-0.481015964
BSU31600	mrpA	1.3058190065
BSU31610	mrpB	1.9378972795
BSU31620	mrpC	1.2510203715
BSU31630	mrpD	-0.3823698095
BSU31640	mrpE	-0.0189539275
BSU31650	mrpF	0.0317399105
BSU31660	mrpG	1.1850065165
BSU32110	yumC	0.327978869
BSU32170	dapF	2.579786572
BSU32670	sufB	-0.8222395905
BSU32680	iscU	1.063001713
BSU32690	sufS	-1.9247284975
BSU32700	sufD	-2.265463756
BSU32710	sufC	0.681016673
BSU33660	rghRA	0.1010806885
BSU33900	eno	-0.084320948
BSU33910	pgm	-0.871968418
BSU33940	gapA	1.634280206
BSU34790	trxB	0.0905590615
BSU35290	prfB	0.0390062695
BSU35300	secA	0.102657792
BSU35530	tagO	-0.114630185
BSU35600	tuaB	0.8574197735
BSU35660	mnaA	-1.296647067
BSU35700	tagH	-1.029299773
BSU35710	tagG	-1.3182004105
BSU35720	tagF	-1.561223945
BSU35740	tagD	-1.64846566
BSU35750	tagA	-1.947560091
BSU35760	tagB	0.8320359975
BSU36410	mbl	-1.5268431985
BSU36760	murAA	-3.1429049715
BSU36900	glyA	1.738757654
BSU37010	prfA	1.6188402955
BSU37150	pyrG	-1.051747354
BSU38120	rodA	-2.0776235815
BSU38490	menA	1.2230089175
BSU38690	yxlC	0.875488337
BSU40400	walK	0.3598938185
BSU40410	walR	-0.62997575
BSU40440	dnaC	0.2906246155
BSU40550	ppaC	0.5629279505
BSU40890	rpsR	-1.141758502
BSU40900	ssbA	0.1773036695
BSU41050	rnpA	0.9640224545
BSU_MISC_RNA_2	scr	1.09972589
BSU_MISC_RNA_35	rnpB	2.046407697
BSUtRNA23	trnI-Asn	1.5150298935
none	control	1.4086088115
