BSU	Gene	A22	Acriflavine	Actinomycin_D	Aztreonam	Benzalkonium	Cefaclor	Cefoxitin	Cerulenin	Chlorhexidine	Ciprofloxacin	Copper(II)_stress	Cycloserine_D	Dibucaine	Dipyridyl	Doxycycline	EDTA	Ethidium_bromide	Fosfomycin	Fusidic_acid	Gliotoxin	Holomycin	Iron(II)_stress	Mupirocin	Nalidixic_acid	Novobiocin	PAC-holo	Phenazine_monosulfate	Propidium_iodide	Puromycin	Rifampicin	SDS	Sulfamonomethoxine	Thiolutin	Triclosan	Trimethoprim	Vancomycin
BSU00500	glmU	0.713717609	-0.75346031	0.685887417	-0.6911045535	0.779200415	-1.664872532	-0.4174391665	-0.290839064	1.873515051	0.278291568	1.732422889	1.179816048	0.239429754	0.659245731	1.530851738	0.679259764	-1.188311621	1.0902922505	-0.1321508325	2.058551263	2.214064144	-3.103371336	0.036727852	-0.197658031	-1.473945199	1.58392639	0.536157549	-0.17352225	0.408560575	0.758324734	-1.211954588	0.280858653	2.766398381	0.783333667	-0.230103752	-0.474982811
BSU00510	prs	0.457633562	-0.24135905	0.160432532	-0.559924614	0.748951243	0.504147878	-0.351720751	-0.63373133	1.449130591	0.361117425	3.800666971	-0.043435555	0.628557175	1.9655423025	1.960515222	0.954190868	0.962334015	-0.09531752	-0.7093350725	0.854914059	3.483075909	-3.249660361	-0.289292591	1.028151099	-2.535437423	-0.847838258	2.484420017	-0.661711696	0.313183795	0.252632271	-0.176799619	-0.041155515	2.527499141	1.957333941	-0.8995320345	-0.50318713
BSU00530	pth	0.0895067425	-0.51675489	1.908357678	-1.077287922	0.370876602	0.988412249	-0.392279477	0.248901379	-0.871084184	0.149364363	0.0123733	0.847905143	-0.843179927	-0.898151381	-0.765648218	0.392533271	-0.097198295	1.2951466845	0.0531561655	-0.30801253	-1.369234975	-1.0312563055	0.987734536	-0.168182864	0.216213085	0.796107052	-0.173994582	-0.498833101	-0.813899418	0.476302069	-0.131523987	-0.31673576	-0.770325055	1.361363008	-0.4914263865	0.532100574
BSU00620	divIC	-0.43883662	-1.17031781	-2.97743811	-2.8628897135	-0.7562572825	-0.057383642	-1.519519157	1.456228015	2.386658093	-1.879579195	-0.383762461	-1.917055293	-0.03677191	0.4697188045	-1.158854363	-1.079651474	-4.738731132	-4.695657715	0.087405939	-1.720882853	-2.054326523	3.9181543095	0.35111643	-2.137849651	0.036551912	-0.752594816	0.209493969	2.946173672	-0.279769844	-0.32334984	1.627921529	2.178349773	-0.602941664	-0.436267783	1.321941171	-1.318826485
BSU00670	tilS	0.7371159745	0.12034426	-2.321280936	0.188923357	0.5339691005	3.207909961	0.9134756895	-0.126147709	-0.65889265	0.335264762	0.199766519	0.96088241	-0.262052942	-0.8289799885	-0.782790125	1.233774717	0.205178112	0.774288866	0.236895585	0.132011382	-0.25820863	-0.3205693005	-0.456809169	-0.406742888	-0.218117967	-0.224552586	-0.500749329	-0.224516036	-0.319357005	0.4551453765	0.886034303	0.28528818	0.62358048	0.762573177	-0.2835695125	0.7106904325
BSU00680	hprT	-1.343359801	-1.472926331	-3.623438853	-1.29503552	-1.6198733225	3.848929526	-1.7386564445	-1.912904484	-2.320471676	0.594660085	-0.228422867	0.057643695	-1.943833859	-0.887348438	-0.426604588	-0.434266569	-0.233687746	0.598046065	1.314123527	0.734515772	1.072028055	-0.866098524	1.276400482	1.314086887	1.506681267	-1.012384081	-0.037171786	-0.624039695	-1.958286044	-1.167499322	1.168523129	-0.604829276	-0.652334963	1.540869514	0.8969866535	-1.685880785
BSU00770	sul	0.6128583	0.908475608	2.252909496	0.6640030745	0.432969425	-1.730274517	1.6213677705	-0.062602662	1.013889465	-0.148356426	0.710350881	-0.40120648	0.328751071	-1.5484602325	-0.551565123	-0.104815761	-0.112944323	0.133969088	0.7958897025	0.057594496	0.988802673	0.760277174	0.775594305	-1.119791194	0.273232678	0.5405205395	0.257941773	0.659897998	0.10297422	0.4220839115	-0.255434719	-5.198800336	0.336930129	-0.364868962	-7.103161428	0.9938943445
BSU00780	folB	0.0756177945	0.562458356	1.317552887	0.1663754225	0.4866333	0.495071227	0.026510614	0.682769394	0.234863557	-0.035466622	0.657304526	0.150123352	0.590247312	-0.0287242455	0.388194244	-0.200037148	0.21515477	-0.395778571	0.2144647075	1.171376792	-0.54959795	0.2324808955	0.176887783	-0.903972199	-0.593921455	0.935309952	0.088794893	0.354058805	0.011019957	1.01218509	0.395755663	-3.19964729	0.671569903	1.736179952	-5.521269476	-0.123642437
BSU00790	folK	-0.2418177055	1.304976201	0.677635735	0.239633722	0.5588243205	-1.447022389	-0.3680489145	0.410145747	0.738522335	-0.069664742	1.548398759	-0.1039881	0.097066274	-0.3905562905	0.292910109	-0.125351768	1.252070018	0.0357066515	-0.337700715	0.582827359	-0.708352434	0.5897184355	-0.03696651	0.439852166	0.455632497	1.4386282505	0.693650864	0.990705682	0.370965903	0.3173768045	0.08227607	-3.108843305	-0.210641174	0.419889041	-5.602597974	0.339665339
BSU00820	lysS	-1.570315734	0.584228508	-0.392901858	-0.410666728	-0.9106348225	-2.208428151	-0.6839532935	-1.115353515	-0.65777804	1.377538058	-0.275867284	0.285822643	-0.148622444	-0.999722967	-1.537398294	0.073850861	-0.831969915	1.637533525	-0.19069915	-0.49984741	1.63488603	-0.853397576	0.533510679	2.060529385	0.712653945	-0.7957894425	0.098471738	0.147774239	-0.559675392	-0.3507464525	0.255668544	-0.021102806	0.547148096	-0.312850044	0.693803456	-0.60594999
