Gene
ytgP
murAA
ddl
pbpG
murAB
gcaD
spoVD
murD
ydaH
pbpB
mreB
murC
mreC
murG
ftsW
mreD
ponA
rodA
pbpD
yciB
pbpF
dacA
dacB
pbpC
racX
racE
yqjB
spoVE
pbpE
bcrC
yrpC
uppP
murF
ykuD
pbpA
dacC
dacF
gpsB
pbpH
nagZ
murE
mraY
murB
