Gene
uppP
pbpE
spoVE
yqjB
bcrC
murF
ykuD
yrpC
murC
pbpB
ydaH
dacB
murG
ftsW
pbpH
dacF
nagZ
dacA
yciB
pbpD
pbpF
rodA
ponA
racE
pbpC
racX
murB
pbpA
dacC
mraY
ytgP
murAB
gcaD
murD
spoVD
murE
ddl
murAA
pbpG
